Year,Units,Value
2010,ukupno novoinficiranih,24.0
2011,ukupno novoinficiranih,24.0
2012,ukupno novoinficiranih,25.0
2013,ukupno novoinficiranih,25.0
2014,ukupno novoinficiranih,26.0
2015,ukupno novoinficiranih,26.0
2016,ukupno novoinficiranih,26.0
2017,ukupno novoinficiranih,25.0
2018,ukupno novoinficiranih,25.0
2019,ukupno novoinficiranih,25.0
2020,ukupno novoinficiranih,25.0
2010,ukupno novoinficiranih na 1000 neinficiranih,0.03
2011,ukupno novoinficiranih na 1000 neinficiranih,0.04
2012,ukupno novoinficiranih na 1000 neinficiranih,0.04
2013,ukupno novoinficiranih na 1000 neinficiranih,0.04
2014,ukupno novoinficiranih na 1000 neinficiranih,0.05
2015,ukupno novoinficiranih na 1000 neinficiranih,0.05
2016,ukupno novoinficiranih na 1000 neinficiranih,0.05
2017,ukupno novoinficiranih na 1000 neinficiranih,0.05
2018,ukupno novoinficiranih na 1000 neinficiranih,0.05
2019,ukupno novoinficiranih na 1000 neinficiranih,0.05
2020,ukupno novoinficiranih na 1000 neinficiranih,0.05
