Year,Units,Category,Value
2018,%,clean_tech_cat_1,63.8
2018,%,clean_tech_cat_2,29.7
2018,%,clean_tech_cat_3,99.6
2018,%,clean_tech_cat_4,28.0
2008,%,clean_tech_cat_5,77.0
2009,%,clean_tech_cat_5,42.0
2010,%,clean_tech_cat_5,75.0
2011,%,clean_tech_cat_5,74.0
2012,%,clean_tech_cat_5,74.0
2013,%,clean_tech_cat_5,73.0
2014,%,clean_tech_cat_5,73.0
2015,%,clean_tech_cat_5,42.0
2016,%,clean_tech_cat_5,72.0
2017,%,clean_tech_cat_5,62.0
2018,%,clean_tech_cat_5,42.0
2019,%,clean_tech_cat_5,71.0
2020,%,clean_tech_cat_5,62.0
2021,%,clean_tech_cat_5,62.0
