Year,Units,Category,Value
2008,%,5_5_2_cat_1,23.0
2009,%,5_5_2_cat_1,25.0
2010,%,5_5_2_cat_1,30.0
2011,%,5_5_2_cat_1,31.0
2012,%,5_5_2_cat_1,27.0
2013,%,5_5_2_cat_1,25.0
2014,%,5_5_2_cat_1,27.0
2015,%,5_5_2_cat_1,22.0
2016,%,5_5_2_cat_1,29.0
2017,%,5_5_2_cat_1,22.0
2018,%,5_5_2_cat_1,29.0
2019,%,5_5_2_cat_1,36.0
2020,%,5_5_2_cat_1,32.0
2011,%,5_5_2_cat_2,35.7
2012,%,5_5_2_cat_2,23.3
2013,%,5_5_2_cat_2,22.6
2014,%,5_5_2_cat_2,24.6
2015,%,5_5_2_cat_2,17.6
2016,%,5_5_2_cat_2,24.9
2017,%,5_5_2_cat_2,25.4
2018,%,5_5_2_cat_2,23.8
2019,%,5_5_2_cat_2,28.2
2020,%,5_5_2_cat_2,25.3
