Year,Units,Category,Value
2007,percent,national parliament,8.64
2008,percent,national parliament,11.1
2009,percent,national parliament,11.1
2010,percent,national parliament,11.1
2011,percent,national parliament,11.1
2012,percent,national parliament,12.3
2013,percent,national parliament,17.3
2014,percent,national parliament,14.8
2015,percent,national parliament,17.3
2016,percent,national parliament,17.3
2017,percent,national parliament,23.5
2018,percent,national parliament,23.5
2019,percent,national parliament,23.5
2020,percent,national parliament,29.6
2021,percent,national parliament,24.7
2022,percent,national parliament,27.2
2023,percent,national parliament,28.4
2023,percent,national parliament,27.16
2017,percent,local governments,27.8
